time,number,keyword,hot,character
Mon Feb  3 17:15:08 2020,top,关于新冠肺炎你关心的,,热
Mon Feb  3 17:15:08 2020,1,15城暂停限号,3953036,热
Mon Feb  3 17:15:08 2020,2,过多睡眠不利于当前健康调整,3255257,新
Mon Feb  3 17:15:08 2020,3,儿童和孕产妇是新型肺炎易感人群,2090021,沸
Mon Feb  3 17:15:08 2020,4,野狼disco伴奏原作者,2024724,新
Mon Feb  3 17:15:08 2020,5,新增治愈病例连续4天超过死亡病例,1664267,热
Mon Feb  3 17:15:08 2020,6,远程办公,1439130,新
Mon Feb  3 17:15:08 2020,7,陈薇,1225128,热
Mon Feb  3 17:15:08 2020,8,最新疫情地图,888758,沸
Mon Feb  3 17:15:08 2020,9,哈尔滨确诊产妇产下健康女婴,711573,沸
Mon Feb  3 17:15:08 2020,10,记者记录患者发热到确诊全过程,710490,
Mon Feb  3 17:15:08 2020,11,确诊病例门把手测出病毒核酸,710229,热
Mon Feb  3 17:15:08 2020,12,一万吨冻猪肉随时准备向武汉市场投放,708586,
Mon Feb  3 17:15:08 2020,13,发改委回应疫情对中国经济影响,708219,
Mon Feb  3 17:15:08 2020,14,海南12起聚集性疫情,707059,
Mon Feb  3 17:15:08 2020,15,核酸检测试剂产量是疑似患者40倍,705478,热
Mon Feb  3 17:15:08 2020,16,尹正,704801,热
Mon Feb  3 17:15:08 2020,17,爸爸和女儿时隔17年的接力出征,702783,
Mon Feb  3 17:15:08 2020,18,秦皇岛公布确诊病例乘坐车次,701726,新
Mon Feb  3 17:15:08 2020,19,超级碗,700574,热
Mon Feb  3 17:15:08 2020,20,令人骄傲的饭圈女孩们,699592,
Mon Feb  3 17:15:08 2020,21,武汉招募防疫青年志愿者,699440,新
Mon Feb  3 17:15:08 2020,22,钟元凯,689204,新
Mon Feb  3 17:15:08 2020,23,段小薇,599464,
Mon Feb  3 17:15:08 2020,24,我的英雄学院,566471,新
Mon Feb  3 17:15:08 2020,25,西藏已连续4天无新增病例,470716,
